web-scraper-start-url,Name,Constellation,Right ascension,Declination,Apparent magnitude,Distance,Proper motion RA,Proper motion Dec,B-T magnitude,V-T magnitude,Proper names,HD,TYCHO-2 2000,USNO-A2.0,BSC,HIP
https://server6.sky-map.org/starview?object_type=1&object_id=279&object_name=HD+1,η Cen (Marfikent),Centaurus,14h35m30.40s,-42Â°09'28.0",2.31,94.607 parsecs,,,,,,,,USNO-A2 0450-17929792,,
https://server6.sky-map.org/starview?object_type=1&object_id=280&object_name=HD+1,δ Sco (Dschubba),Scorpius,16h00m20.00s,-22Â°37'18.0",2.32,123.153 parsecs,0,0,2.183,2.271,,,TYC 6779-2194-1,USNO-A2 0600-19286876,,HIP 78401
https://server6.sky-map.org/starview?object_type=1&object_id=281&object_name=HD+1,β UMa (Merak),Ursa Major,11h01m50.50s,+56Â°22'57.0",2.37,24.349 parsecs,,,,,,,,USNO-A2 1425-07593825,,
https://server6.sky-map.org/starview?object_type=1&object_id=282&object_name=HD+1,α Phe (Ankaa),Phoenix,00h26m17.00s,-42Â°18'22.0",2.39,23.73 parsecs,199.9,-396.2,3.78,2.496,,,TYC 7527-1031-1,USNO-A2 0450-00152824,,HIP 2081
https://server6.sky-map.org/starview?object_type=1&object_id=283&object_name=HD+1,ε Peg (Enif),Pegasus,21h44m11.20s,+09Â°52'30.0",2.39,206.186 parsecs,0,0,4.391,2.533,,,TYC 1125-2186-1,USNO-A2 0975-20562418,,HIP 107315
https://server6.sky-map.org/starview?object_type=1&object_id=284&object_name=HD+1,κ Sco (Girtab),Scorpius,17h42m29.30s,-39Â°01'48.0",2.41,142.248 parsecs,,,,,,,,USNO-A2 0450-29639585,,
https://server6.sky-map.org/starview?object_type=1&object_id=285&object_name=HD+1,β Peg (Scheat),Pegasus,23h03m46.50s,+28Â°04'58.0",2.42,61.087 parsecs,187.3,136,4.61,2.654,,,TYC 2243-1831-1,USNO-A2 1125-19640018,,HIP 113881
https://server6.sky-map.org/starview?object_type=1&object_id=286&object_name=HD+1,η Oph (Sabik),Ophiucus,17h10m22.70s,-15Â°43'29.0",2.43,25.793 parsecs,0,0,2.597,2.477,,,TYC 6232-1333-1,,,HIP 84012
https://server6.sky-map.org/starview?object_type=1&object_id=287&object_name=HD+1,γ UMa (Phad),Ursa Major,11h53m49.80s,+53Â°41'41.0",2.44,25.648 parsecs,103.3,10.3,2.456,2.399,,,TYC 3833-1034-1,USNO-A2 1425-07734450,,HIP 58001
https://server6.sky-map.org/starview?object_type=1&object_id=288&object_name=HD+1,α Cep (Alderamin),Cepheus,21h18m34.80s,+62Â°35'08.0",2.44,14.961 parsecs,0,0,2.725,2.458,,,TYC 4252-1870-1,USNO-A2 1500-07921296,,HIP 105199
https://server6.sky-map.org/starview?object_type=1&object_id=289&object_name=HD+1,η CMa (Aludra),Canis Major,07h24m05.70s,-29Â°18'11.0",2.45,980.392 parsecs,,,,,,,,USNO-A2 0600-06036035,,
https://server6.sky-map.org/starview?object_type=1&object_id=290&object_name=HD+1,ε Cyg (Aljanah),Cygnus,20h46m12.70s,+33Â°58'13.0",2.46,22.095 parsecs,356.8,328.4,3.79,2.57,,,TYC 2695-4139-1,USNO-A2 1200-15899947,,HIP 102488
https://server6.sky-map.org/starview?object_type=1&object_id=291&object_name=HD+1,γ Cas,Cassiopeia,00h56m42.50s,+60Â°43'00.0",2.47,187.97 parsecs,,,,,,,,USNO-A2 1500-00984889,,
https://server6.sky-map.org/starview?object_type=1&object_id=292&object_name=HD+1,α Peg (Markab),Pegasus,23h04m45.70s,+15Â°12'19.0",2.49,42.808 parsecs,0,0,2.456,2.452,,,TYC 1711-2475-1,USNO-A2 1050-20553148,,HIP 113963
https://server6.sky-map.org/starview?object_type=1&object_id=293&object_name=HD+1,κ Vel (Markab),Vela,09h22m06.80s,-55Â°00'39.0",2.5,165.289 parsecs,,,,,,,,USNO-A2 0300-06722161,,
https://server6.sky-map.org/starview?object_type=1&object_id=294&object_name=HD+1,α Cet (Menkar),Cetus,03h02m16.80s,+04Â°05'23.0",2.53,67.476 parsecs,-11.7,-77.7,4.687,2.716,,,TYC 58-1618-1,USNO-A2 0900-00705691,,HIP 14135
https://server6.sky-map.org/starview?object_type=1&object_id=295&object_name=HD+1,ζ Cen (Alnair),Centaurus,13h55m32.40s,-47Â°17'18.0",2.55,117.925 parsecs,,,,,,,,USNO-A2 0375-19516767,,
https://server6.sky-map.org/starview?object_type=1&object_id=296&object_name=HD+1,δ Leo (Zosma),Leo,11h14m06.50s,+20Â°31'25.0",2.56,17.693 parsecs,0,0,2.71,2.544,,,TYC 1439-2479-1,USNO-A2 1050-06456402,,HIP 54872
https://server6.sky-map.org/starview?object_type=1&object_id=297&object_name=HD+1,ζ Oph,Ophiucus,16h37m09.50s,-10Â°34'02.0",2.56,140.449 parsecs,0,0,2.575,2.546,,,TYC 5632-1042-1,USNO-A2 0750-09877582,,HIP 81377
https://server6.sky-map.org/starview?object_type=1&object_id=298&object_name=HD+1,α Lep (Arneb),Lepus,05h32m43.80s,-17Â°49'20.0",2.58,393.701 parsecs,0,0,2.847,2.587,,,TYC 5920-1685-1,USNO-A2 0675-02145727,,HIP 25985
https://server6.sky-map.org/starview?object_type=1&object_id=299&object_name=HD+1,γ Crv (Gienah),Corvus,12h15m48.40s,-17Â°32'31.0",2.59,50.556 parsecs,0,0,2.458,2.532,,,TYC 6098-1754-1,USNO-A2 0675-11966009,,HIP 59803
https://server6.sky-map.org/starview?object_type=1&object_id=300&object_name=HD+1,δ Cen,Centaurus,12h08m21.50s,-50Â°43'21.0",2.6,121.212 parsecs,-35.1,-7.5,2.41,2.515,,,TYC 8241-3235-1,USNO-A2 0375-15240790,,HIP 59196
https://server6.sky-map.org/starview?object_type=1&object_id=301&object_name=HD+1,ζ Sgr (Ascella),Sagittarius,19h02m36.70s,-29Â°52'49.0",2.6,27.315 parsecs,0,0,2.717,2.599,,,TYC 6885-2837-1,USNO-A2 0600-38738416,,HIP 93506
https://server6.sky-map.org/starview?object_type=1&object_id=302&object_name=HD+1,γα Leo (Algieba),Leo,10h19m58.30s,+19Â°50'30.0",2.61,38.521 parsecs,,,,,,,,USNO-A2 1050-06256736,,
https://server6.sky-map.org/starview?object_type=1&object_id=303&object_name=HD+1,β Lib (Zubeneschamali),Libra,15h17m00.40s,-09Â°22'59.0",2.61,49.068 parsecs,0,0,2.497,2.568,,,TYC 5585-1014-1,USNO-A2 0750-08881405,,HIP 74785
https://server6.sky-map.org/starview?object_type=1&object_id=304&object_name=HD+1,θ Aur (Mahasim),Auriga,05h59m43.30s,+37Â°12'45.0",2.62,53.107 parsecs,0,0,2.552,2.602,,,TYC 2418-1573-1,USNO-A2 1200-04168675,,HIP 28380
https://server6.sky-map.org/starview?object_type=1&object_id=305&object_name=HD+1,βα Sco (Acrab),Scorpius,16h05m26.20s,-19Â°48'20.0",2.62,162.602 parsecs,0,0,2.519,2.592,,,TYC 6208-1623-1,USNO-A2 0675-15143121,,HIP 78820
https://server6.sky-map.org/starview?object_type=1&object_id=306&object_name=HD+1,β Ari (Sheratan),Aries,01h54m38.40s,+20Â°48'29.0",2.64,18.268 parsecs,0,0,2.827,2.651,,,TYC 1212-1935-1,USNO-A2 1050-00522219,,HIP 8903
https://server6.sky-map.org/starview?object_type=1&object_id=307&object_name=HD+1,α Col (Phact),Columba,05h39m38.90s,-34Â°04'27.0",2.64,82.237 parsecs,0,0,2.514,2.608,,,TYC 7064-1357-1,USNO-A2 0525-02284999,,HIP 26634
https://server6.sky-map.org/starview?object_type=1&object_id=308&object_name=HD+1,β Crv (Kraz),Corvus,12h34m23.20s,-23Â°23'48.0",2.65,42.845 parsecs,0,0,3.766,2.721,,,TYC 6683-1116-1,USNO-A2 0600-14993428,,HIP 61359
https://server6.sky-map.org/starview?object_type=1&object_id=309&object_name=HD+1,α Ser (Unukalhai),Serpens,15h44m16.10s,+06Â°25'32.0",2.65,22.452 parsecs,0,0,4.142,2.739,,,TYC 363-1135-1,USNO-A2 0900-08211028,,HIP 77070
https://server6.sky-map.org/starview?object_type=1&object_id=310&object_name=HD+1,δ Cas (Alinina),Cassiopeia,01h25m49.00s,+60Â°14'07.0",2.68,30.479 parsecs,0,0,2.842,2.663,,,TYC 4031-3289-1,USNO-A2 1500-01439229,,HIP 6686
https://server6.sky-map.org/starview?object_type=1&object_id=311&object_name=HD+1,η Boo (Muphrid),Bootes,13h54m41.10s,+18Â°23'52.0",2.68,11.342 parsecs,0,0,3.38,2.719,,,TYC 1470-1157-1,USNO-A2 1050-07036705,,HIP 67927
https://server6.sky-map.org/starview?object_type=1&object_id=312&object_name=HD+1,β Lup (Kekouan),Lupus,14h58m31.90s,-43Â°08'02.0",2.68,160.514 parsecs,-35,-38.5,2.414,2.603,,,TYC 7832-2490-1,USNO-A2 0450-18978148,,HIP 73273
https://server6.sky-map.org/starview?object_type=1&object_id=313&object_name=HD+1,ι Aur (Kabdhilinan),Auriga,04h56m59.60s,+33Â°09'58.0",2.69,156.986 parsecs,2.8,-18.6,4.666,2.83,,,TYC 2391-1446-1,USNO-A2 1200-02651837,,HIP 23015
